Rank,Experiment,Modalities,#Mod,MAE(%p),RMSE,MAE_std(%p),RMSE_std
1,Text only,text,1,19.3,0.2305,0.2,0.0016
2,No Image,"text, coll, naver, temporal",4,19.3,0.2315,0.2,0.0017
3,All (SFT Full),"image, text, coll, naver, temporal",5,19.4,0.2336,0.4,0.0035
4,No Collection,"image, text, naver, temporal",4,19.5,0.2323,0.2,0.0025
5,No Naver,"image, text, coll, temporal",4,19.5,0.233,0.3,0.0037
6,Image + Text,"image, text",2,19.7,0.2357,0.3,0.0046
7,No Temporal,"image, text, coll, naver",4,19.7,0.2357,0.3,0.0039
8,No Text,"image, coll, naver, temporal",4,19.8,0.2357,0.4,0.005
9,Image only,image,1,19.9,0.2383,0.1,0.0017
10,Temporal only,temporal,1,20.1,0.2391,0.2,0.0013
11,Naver only,naver,1,20.3,0.2411,0.2,0.0014
12,Coll only,coll,1,20.3,0.2414,0.2,0.0015
13,Trend only,"coll, naver",2,20.3,0.2412,0.2,0.0014
