실험,Image,Text,Coll,Naver,Temporal,MAE(%p),MAE_std(%p),RMSE
Text only,○,●,○,○,○,19.3,0.2,0.2305
No Image,○,●,●,●,●,19.3,0.2,0.2315
All (SFT Full),●,●,●,●,●,19.4,0.4,0.2336
No Collection,●,●,○,●,●,19.5,0.2,0.2323
No Naver,●,●,●,○,●,19.5,0.3,0.233
Image + Text,●,●,○,○,○,19.7,0.3,0.2357
No Temporal,●,●,●,●,○,19.7,0.3,0.2357
No Text,●,○,●,●,●,19.8,0.4,0.2357
Image only,●,○,○,○,○,19.9,0.1,0.2383
Temporal only,○,○,○,○,●,20.1,0.2,0.2391
Naver only,○,○,○,●,○,20.3,0.2,0.2411
Coll only,○,○,●,○,○,20.3,0.2,0.2414
Trend only,○,○,●,●,○,20.3,0.2,0.2412
